station_id,name
7270,Church St / Dundas St E - SMART
7271,Yonge St / Alexander St - SMART
7272,Yonge St / Dundonald St
7273,Bay St / Charles St W - SMART
7274,Queen's Park Cres E / Grosvenor St - SMART
7276,Bloor St W / Balmuto St
7277,Chorley Park - SMART
7278,Mallon Ave / Jones Ave -SMART
7279,Rosehill Ave / Avoca Ave - SMART
7280,Charles St E / Jarvis St - SMART
7281,Charles St W / Balmuto St - SMART
7282,Adelaide St W / Bay St
7283,Front St W / Bay St (South Side)
7284,University Ave / King St W - SMART
7285,Spadina Ave / Harbord St - SMART
7286,Gerrard St E / Broadview Ave  - SMART
7287,Queen St E / Pape Ave - SMART
7288,Humber Bay Shores Park West
7289,Humber Bay Shores Park East
7291,190 Queens Quay E
7292,Granby St / Church St - SMART
7296,Westmoreland Ave / Fernbank Ave
7297,Havelock St / Dufferin Park
7298,Bathurst St / Adelaide St W
7299,Mill St / Parliament St
7301,Primrose Ave / Davenport Rd
7302,Winona Dr / Davenport Rd
7303,Queen St E / Woodward Ave
7309,Queen St E / Rhodes Ave
7311,Sherbourne St / Isabella St
7312,Amelia St / Sumach St
7313,Emdaabiimok Ave / Lake Shore Blvd E
7314,Queen St. E / Eastern Ave
7315,Queen St E / Hammersmith Ave
7316,Queen St. E / Spruce Hill Rd.
7317,Hubbard Blvd / Balsam Av
7318,Hubbard Blvd / Glen Manor Dr
7319,Lake Shore Blvd E / Knox Ave
7320,Front St W / University Ave (1)
7321,Front St W / University Ave (2)
7322,East Liberty St / Western Battery Rd
7323,457 King St W
7324,King St W / Charlotte St
7326,Davenport Rd / Lansdowne Ave
7327,Davenport Rd / Dovercourt Rd - SMART
7328,Roxborough St W / Yonge St
7329,Crawford St / Queen St W
7331,Coxwell Ave / Plains Rd
7332,200 Bloor St E
7333,King St E / Victoria St
7334,Simcoe St / Wellington St W (North)
7335,Bay St / Bloor St W (West Side)
7336,Queen St E / Alton Av
7337,Gerrard Square Mall (1010 Gerrard St E)
7338,Logan Ave / Bain Ave
7339,Carlaw Ave / Strathcona Ave
7340,Blake St / Boultbee Ave
7341,Eastern Ave / Winnifred Ave
7342,Morse St / Eastern Ave
7343,Alton Ave / Dundas St E (Greenwood Park)
7344,Cherry Beach
7345,Cherry Beach Sports Fields (55 Unwin Ave)
7346,Logan Ave / Gerrard St E
7347,Regal Rd / Dufferin St
7348,Pape Ave / Gamble Ave
7349,Gamble Ave / Broadview Ave
7350,Broadview Ave / Westwood Ave
7351,Pretoria Ave / Broadview Ave
7352,Cosburn Ave / Donlands Ave
7353,Fulton Ave / Pape Ave
7354,Tommy Thompson Park (Leslie Street Spit)
7355,Beltline Trail / Chaplin Cres
7356,King St E / Berkeley St
7357,Lake Shore Blvd E / Leslie St
7358,Galbraith Rd / King's College Rd
7359,Rosedale Park (20 Scholfield Ave)
7360,Concord Ave / Dewson St
7361,Hocken Ave / Vaughan Rd
7362,St. Clair Ave W / Bathurst St
7363,Wells Hill Ave / St. Clair Ave W
7364,Queen St E / Nursewood Rd
7365,Kewbeach Ave / Kenilworth Ave
7366,Fort York Blvd / Bathurst St - SMART
7367,Alma Ave / Gladstone Ave SMART
7368,Lisgar St / Dundas St W - SMART
7371,Eglinton Ave W / Henning Ave SMART
7373,George St / King St E
7374,Frederick St / The Esplanade
7375,Front St E / Scott St
7376,Frobisher Ave / Lascelles Blvd
7377,Balliol St / Yonge St - SMART
7378,Yonge St / Davisville Ave
7379,Lawton Blvd / Yonge St
7380,Erskine Ave / Yonge St SMART
7381,Yonge St / Orchard View Blvd
7382,Simcoe St / Adelaide St W
7383,12 Harbour St
7384,Cumberland St / Bay St -  SMART
7385,20 Charles St E
7386,D'Arcy St / McCaul St - SMART
7387,Mortimer Ave / Carlaw Ave SMART
7388,Broadview Subway Station
7389,College Park - Gerrard Entrance
7391,Yonge St / Dundas Sq
7395,Dentonia Park
7398,York St / Lake Shore Blvd W
7399,Lower Jarvis St / Queens Quay E
7400,Polson Pier
7403,Lascelles Blvd / Eglinton Ave W
7404,Roehampton Ave / Mount Pleasant Rd
7407,University Ave / Queen St W
7409,Isabella St / Church St
7410,Howard St / Rose Ave
7411,Little Norway Park
7412,King St W / Crawford St
7414,Keele St / Annette St
7415,Keele St / Vine Ave
7416,Spadina Ave / Blue Jays Way
7417,King St W / Jordan St
7418,College Park - Yonge St Entrance
7419,Bloor St W / Huron St
7420,Barton Ave / Howland Ave - SMART
7422,Tyndall Ave / King St W - SMART
7424,Merton St / Mount Pleasant Rd
7425,The Queensway at South Kingsway
7427,Northern Dancer Blvd / Lake Shore Blvd E
7428,Woodbine Ave / Lake Shore Blvd E
7429,Woodbine Subway Station
7430,Marilyn Bell Park Tennis Court
7431,Gerrard St E / Leslie St
7432,Frederick St / King St E
7433,Dundas St E / Boulton Ave - SMART
7434,91 Via Italia
7435,Rushton Rd / St. Clair Ave W
7437,Concord Ave / Bloor St W
7438,Gothic Ave / Quebec Ave
7441,Pacific Ave / Glenlake Ave
7442,Lonsdale Rd / Spadina Rd
7443,Dundas St E / George St
7444,Clendenan Ave / Rowland St - SMART
7445,Eastwood Rd / Coxwell Ave
7446,Orchard Park
7447,Trent Ave / Danforth Ave
7448,Goodwood Park Crt / Dentonia Park
7449,Cosburn Ave / Cedarvale Ave
7450,Carlaw Ave / Danforth Ave
7451,Western Battery Rd / Pirandello St
7452,Bleecker St / St James Ave
7453,Jarvis St / Maitland Pl
7454,Pottery Rd / Lower Don River Trail
7455,E.T. Seton Park (Eglinton Ave E / Leslie St)
7457,Queen's Park Cres W / Hoskin Ave
7458,Church St / Lombard St
7459,St. Clair Ave W / Winona Dr
7460,High Park Outdoor Pool
7461,High Park Amphitheatre
7462,Richmond St E / Yonge St
7465,Russell Hill Rd / St. Clair Ave W
7466,Glendonwynne Rd / Bloor St W
7467,Lower Simcoe St / Bremner Blvd
7468,Front St W / Simcoe St
7469,York St / Wellington St W (1)
7471,2300 Lakeshore Blvd W
7473,Adelaide St W / Strachan Ave
7474,Clarence Square
7475,Jarvis St / Richmond St E
7476,Symington Ave / Dupont St
7477,Antler St / Campbell Ave - SMART
7478,Ellis Ave / The Queensway
7479,Jane St / Bloor St W (Jane Subway Station)
7480,Neil McLellan Park
7483,Southwood Dr / Kingston Rd - SMART
7484,Briar Hill Ave / Yonge St - SMART
7485,Blythwood Rd / Yonge St - SMART
7486,Gerrard St E / Main St
7487,Eastwood Rd / Woodbine Ave - SMART
7488,Summerhill Ave / Maclennan Ave
7489,Sumach St  / Queen St E
7492,Cherry St / Lake Shore Blvd E
7493,Sackville St / Eastern Ave - SMART
7494,Davenport Rd / McAlpine St - SMART
7496,Sunnyside Ave / The Queensway - SMART
7497,128 Sterling Rd - SMART
7501,Humberside Grounds - SMART
7502,University Ave / College St (East)
7503,Gerrard St E / Malvern Ave - SMART
7504,Gerrard St E / Victoria Park Ave - SMART
7505,Ontario St / Adelaide St E -SMART
7506,Berkeley St / Adelaide St E - SMART
7508,Berkeley St / Dundas St E - SMART
7514,Humber Bay Shores Park / Marine Parade Dr
7515,Amos Waites Park
7516,Superior Ave / Lake Shore Blvd W
7517,Ripley Ave / Ormskirk Ave
7518,Lake Shore Blvd W / Colborne Lodge Dr
7519,406 Oakwood Ave
7520,St Clarens Ave / Shirley St
7521,Emerson Ave / Bloor St W
7522,Wallace Ave / Pauline Ave
7523,Lynn Williams St / East Liberty St
